question_id,category,question,expected_files,expected_document_ids,expected_document_count,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,precision_at_5,recall_at_5,results_returned,latency_seconds,top_1_file,top_1_document_id,top_1_distance,retrieved_files
Q01,heat_monitoring,Which environmental parameters should a personal heat stress monitor measure?,cdc_115958_DS1.pdf,9b8dcbcad792292b,1,1,1,1,1,1.0,0.2,1.0,2,0.24637269997037947,cdc_115958_DS1.pdf,9b8dcbcad792292b,0.15292072296142578,cdc_115958_DS1.pdf | 2016-106.pdf
Q02,occupational_heat,What exposure limits and control measures are recommended for occupational heat and hot environments?,2016-106.pdf,32247ef05a6ebfdb,1,1,1,1,1,1.0,0.2,1.0,1,0.09798839990980923,2016-106.pdf,32247ef05a6ebfdb,0.2134476900100708,2016-106.pdf
Q03,work_schedules,How should work and rest schedules be adjusted to protect workers from heat stress?,2017-127.pdf; 2016-106.pdf,828a2fa5be7ac08f; 32247ef05a6ebfdb,2,1,1,1,1,1.0,0.4,1.0,5,0.07915629993658513,2016-106.pdf,32247ef05a6ebfdb,0.21067333221435547,2016-106.pdf | 2017-127.pdf | 000000248_attachment_3.pdf | 000000248_attachment_2.pdf | 000000248_attachment_12.pdf
Q04,heat_first_aid,"What symptoms and first aid actions are described for heat stroke, heat exhaustion and heat cramps?",2010-114.pdf; 2016-106.pdf,5d35d093a4c3dbbc; 32247ef05a6ebfdb,2,1,1,1,1,1.0,0.4,1.0,5,0.08038070006296039,2010-114.pdf,5d35d093a4c3dbbc,0.21267640590667725,2010-114.pdf | 2016-106.pdf | 000000248_attachment_11.pdf | 000000248_attachment_8.pdf | 000000248_attachment_10.pdf
Q05,construction_falls,"How can construction falls from roofs, ladders and scaffolds be prevented?",2019-128Revised112019.pdf,2531db8982b91ca3,1,2,0,1,1,0.5,0.2,1.0,5,0.08340669993776828,2014-108.pdf,22aa5de8a23caedc,0.2894604206085205,2014-108.pdf | 2019-128Revised112019.pdf | 2024-124.pdf | 2014-124.pdf | 000000105_fema453.pdf
Q06,embedded_safety,How can embedded safety features be designed to prevent falls from heights?,2014-124.pdf,7f45364cb6846e7a,1,1,1,1,1,1.0,0.2,1.0,5,0.07406660006381571,2014-124.pdf,7f45364cb6846e7a,0.21575838327407837,2014-124.pdf | 2014-108.pdf | 2024-124.pdf | OSHA3151.pdf | 000000105_fema453.pdf
Q07,prevention_through_design,What prevention through design practices can be used throughout a construction project?,2024-124.pdf,55439b5f2eaef3d1,1,1,1,1,1,1.0,0.2,1.0,5,0.07345720008015633,2024-124.pdf,55439b5f2eaef3d1,0.2475733757019043,2024-124.pdf | 000000425_CPWR_Safety_Culture_Final_Report_0.pdf | 2014-108.pdf | 2014-124.pdf | OSHA3902.pdf
Q08,roof_parapets,How can roof parapets be designed to prevent workers from falling?,2014-108.pdf,22aa5de8a23caedc,1,1,1,1,1,1.0,0.2,1.0,4,0.06316609994973987,2014-108.pdf,22aa5de8a23caedc,0.1752808690071106,2014-108.pdf | 2024-124.pdf | 2019-128Revised112019.pdf | 2014-124.pdf
Q09,silica,What should small construction employers do to control exposure to respirable crystalline silica?,OSHA3902.pdf,321c9ea493bd5ad7,1,1,1,1,1,1.0,0.2,1.0,1,0.07550020003691316,OSHA3902.pdf,321c9ea493bd5ad7,0.18472301959991455,OSHA3902.pdf
Q10,chemical_hazards,How can chemical hazards be controlled when applying artificial fingernails?,99-112.pdf,bb358954ca1bb907,1,1,1,1,1,1.0,0.2,1.0,5,0.07084800000302494,99-112.pdf,bb358954ca1bb907,0.35446304082870483,99-112.pdf | 000000251_2024-08568.pdf | 000000376_2020-10678.pdf | 000000376_2020-18017.pdf | OSHA3151.pdf
Q11,ppe,How should employers assess workplace hazards and select personal protective equipment?,OSHA3151.pdf,4bd6b10448b10e77,1,1,1,1,1,1.0,0.2,1.0,5,0.07560129999183118,OSHA3151.pdf,4bd6b10448b10e77,0.18540453910827637,OSHA3151.pdf | 000000373_TemporaryWorkersFAQs.pdf | 000000160_AllianceRecommendationForFitTesting_Final.pdf | 000000425_ERGOVG-Toolkit_rev2011.pdf | 000000251_2024-08568.pdf
